,Categ,Priority,O*NET-SOC Code,Title,Description,Total Employment,Mean Hourly Wage,25th Percentile Hourly Wage,Median Hourly Wage,75th Percentile Hourly Wage,"Employment change, numeric, 2022-32","Employment change, percent, 2022-32",sustainable_wage,sustainable_wage_ind,stable_employment
333,,,21-1015.00,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.","82,420",22.13,16.24,19.23,25.71,1.6,1.9,-5.789999999999999,False,True
334,,,21-1019.00,"Counselors, All Other",All counselors not listed separately.,"37,270",23.93,17.66,20.86,25.37,11.7,17.2,-4.16,False,True
335,,,21-1021.00,"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.","344,770",27.25,20.22,24.43,31.37,18.9,5.3,-0.5899999999999999,False,True
336,,,21-1022.00,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.","182,420",30.17,22.84,28.98,36.25,18.4,9.6,3.960000000000001,True,True
337,,,21-1023.00,Mental Health and Substance Abuse Social Workers,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.","107,940",28.91,19.10,24.63,35.12,12.0,10.6,-0.39000000000000057,False,True
338,,,21-1029.00,"Social Workers, All Other",All social workers not listed separately.,"54,620",30.94,22.28,29.53,39.26,4.5,6.6,4.510000000000002,True,True
339,,,21-1091.00,Health Education Specialists,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.","56,190",32.07,21.87,28.84,39.23,4.4,7.2,3.8200000000000003,True,True
340,,,21-1092.00,Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.","89,920",31.21,22.19,28.78,37.89,2.4,2.5,3.7600000000000016,True,True
341,,,21-1093.00,Social and Human Service Assistants,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.","399,560",20.00,15.79,18.52,22.66,35.6,8.6,-6.5,False,True
342,,,21-1094.00,Community Health Workers,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.","61,300",23.99,18.27,22.21,28.47,9.4,14.1,-2.8099999999999987,False,True
343,,,21-1099.00,"Community and Social Service Specialists, All Other",All community and social service specialists not listed separately.,"94,270",24.82,17.88,22.74,28.97,6.7,6.5,-2.280000000000001,False,True
344,,,21-2011.00,Clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,"53,140",28.93,19.73,26.71,32.78,1.5,0.6,1.6900000000000013,True,True
345,,,21-2021.00,"Directors, Religious Activities and Education","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.","24,030",29.11,18.30,23.74,34.76,-0.4,-0.2,-1.2800000000000011,False,False
346,,,21-2099.00,"Religious Workers, All Other",All religious workers not listed separately.,"10,720",21.84,14.80,18.93,26.06,0.4,0.6,-6.09,False,True
347,,,23-1011.00,Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.","707,160",78.74,45.40,65.26,100.47,62.4,7.5,40.24000000000001,True,True
348,,,23-1012.00,Judicial Law Clerks,Assist judges in court or by conducting research or preparing legal documents.,"15,540",31.88,21.54,27.64,36.83,0.4,2.3,2.620000000000001,True,True
349,,,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.","12,490",46.75,31.37,45.67,59.12,0.1,1.1,20.650000000000002,True,True
350,,,23-1022.00,"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,"7,780",47.56,23.14,30.78,47.44,0.5,5.0,5.760000000000002,True,True
351,,,23-1023.00,"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.","28,230",73.90,41.45,72.61,88.38,0.7,2.2,47.59,True,True
352,,,23-2011.00,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.","345,240",30.21,22.52,28.46,36.33,14.8,4.2,3.4400000000000013,True,True
353,,,23-2093.00,"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.","53,680",27.42,19.25,24.28,31.58,1.0,1.7,-0.7399999999999984,False,True
354,,,23-2099.00,"Legal Support Workers, All Other",All legal support workers not listed separately.,"46,480",37.11,22.60,29.97,46.95,0.1,0.2,4.949999999999999,True,True
390,,,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education.","103,100",31.49,22.54,28.77,37.43,-0.6,-0.5,3.75,True,False
392,,,25-2011.00,"Preschool Teachers, Except Special Education","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.","415,360",18.58,13.88,16.99,21.20,17.2,3.4,-8.030000000000001,False,True
406,,,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.","36,490",30.35,22.27,28.17,36.91,-5.3,-12.6,3.150000000000002,True,False
407,,,25-3021.00,Self-Enrichment Teachers,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.","248,150",24.19,15.02,21.21,29.16,11.4,3.2,-3.8099999999999987,False,True
408,,,25-3031.00,"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.","397,200",20.52,13.68,16.95,22.44,17.4,4.1,-8.07,False,True
409,,,25-3041.00,Tutors,Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.,"174,980",21.55,14.53,17.63,23.63,7.4,3.3,-7.390000000000001,False,True
411,,,25-4011.00,Archivists,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials.","7,230",30.76,21.82,28.19,37.69,0.8,8.2,3.1700000000000017,True,True
412,,,25-4012.00,Curators,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.","11,620",32.45,22.20,29.03,38.08,1.5,11.1,4.010000000000002,True,True
413,,,25-4013.00,Museum Technicians and Conservators,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document conservators.","12,240",25.40,17.46,22.72,30.06,1.4,9.9,-2.3000000000000007,False,True
414,,,25-4022.00,Librarians and Media Collections Specialists,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment.","131,680",31.14,23.22,29.65,37.54,4.3,3.0,4.629999999999999,True,True
415,,,25-4031.00,Library Technicians,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries.","73,330",19.52,14.62,18.08,23.05,-4.8,-6.1,-6.940000000000001,False,False
416,,,25-9021.00,Farm and Home Management Educators,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.","8,220",28.10,18.78,25.7,34.16,-0.2,-2.0,0.6799999999999997,True,False
417,,,25-9031.00,Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.","198,660",35.14,25.07,31.97,40.82,5.3,2.5,6.949999999999999,True,True
